country;50% of the Net Average Production Workers Wage (in $PPP) - Annual taxable (gross) work income  (Model Family 1);Model Family 1 : Total amount of non-repayable support (grants);Model Family 1 : Total amount of tuition fees;Model Family 1 : Total amount of family benefits - paid to parents of a student;Model Family 1 : Total amount of student loans;Model Family 1 : sum of non-repayable support;Model Family 1 : sum of all types of support;Model Family 1 : sum of all types of support, minus tuition fees;100% of the Net Average Production Workers Wage (in $PPP) - Annual taxable (gross) work income  (Model Family 2);Model Family 2 : Total amount of non-repayable support (grants);Model Family 2 : Total amount of tuition fees;Model Family 2 : Total amount of family benefits - paid to parents of a student;Model Family 2 : Total amount of student loans;Model Family 2 : sum of non-repayable support;Model Family 2 : sum of all types of support;Model Family 2 : sum of all types of support, minus tuition fees;200% of the Net Average Production Workers Wage (in $PPP) - Annual taxable (gross) work income  (Model Family 3);Model Family 3 : Total amount of non-repayable support (grants);Model Family 3 : Total amount of tuition fees;Model Family 3 : Total amount of family benefits - paid to parents of a student;Model Family 3 : Total amount of student loans;Model Family 3 : sum of non-repayable support;Model Family 3 : sum of all types of support;Model Family 3 : sum of all types of support, minus tuition fees;Non-repayable student support as a percentage of net APW, an average for the three model families;Tuition fee as a percentage of net APW, an average for the three model families;Family benefits (indirect support) as a percentage of net APW, an average for the three model families;Repayable student loan as a percentage of net APW, an average for the three model families;Non-repayable student support as a percentage of APW, an average for the three model families;Total support as a percentage of APW, an average for the three model families;Total support net of tuition fees as a percentage of net APW, an average for the three model families;
New Zealand;28379,52328;10886,01546;4268,678848;0;5039,388616;10886,01546;15925,40408;11656,72523;37553,22347;9220,40759;4268,678848;0;6704,996486;9220,40759;15925,40408;11656,72523;84193,35699;0;4268,678848;0;13732,85313;0;13732,85313;9464,17428;12,5418453;7,988060773;0;15,89201519;12,5418453;28,4338605;20,44579972
Norway;25353,30791;5153,108052;0;0;7729,557781;5153,108052;12882,66583;12882,66583;44844,94498;5153,108052;0;0;7729,557781;5153,108052;12882,66583;12882,66583;98419,58005;5153,108052;0;0;7729,557781;5153,108052;12882,66583;12882,66583;1,198471548;0;0;1,797683065;1,198471548;2,996154612;2,996154612
Poland;18557,22753;3840,400471;447,5853946;654,8881037;0;4495,288575;4495,288575;4047,70318;32236,07092;2767,962309;447,5853946;654,8881037;0;3422,850412;3422,850412;2975,265018;57630,02885;0;447,5853946;654,8881037;0;654,8881037;654,8881037;207,3027091;4,024323023;0,817703992;1,196430051;0;5,220753074;5,220753074;4,403049082
Portugal;12135,4865;6753,222836;1283,609576;1709,060773;0;8462,28361;8462,28361;7178,674033;23854,6139;3344,383057;1283,609576;2301,141805;0;5645,524862;5645,524862;4361,915285;42059,47084;0;1283,609576;2156,832413;0;2156,832413;2156,832413;873,2228361;25,98513278;9,909705024;15,87021961;0;41,85535239;41,85535239;31,94564737
Romania;12247,99978;5003,095975;1539,318885;0;0;3463,77709;5003,095975;3463,77709;22014,0805;5003,095975;1539,318885;0;0;3463,77709;5003,095975;3463,77709;44943,80186;0;1539,318885;0;0;-1539,318885;0;-1539,318885;9,381547855;4,329677222;0;0;5,051870633;9,381547855;5,051870633
Slovakia;13944,11043;3476,482618;0;612,2699387;0;4088,752556;4088,752556;4088,752556;23992,69939;0;0;612,2699387;0;612,2699387;612,2699387;612,2699387;47235,88957;0;0;612,2699387;0;612,2699387;612,2699387;612,2699387;9,8771315;0;5,218611478;0;15,09574298;15,09574298;15,09574298
Slovenia;18394,05781;4285,714286;0;0;0;4285,714286;4285,714286;4285,714286;29991,26702;3609,022556;0;929,887218;0;4538,909774;4538,909774;4538,909774;64011,54861;1578,947368;0;1693,233083;0;3272,180451;3272,180451;3272,180451;19,79206933;0;5,480125547;0;25,27219488;25,27219488;25,27219488
South Korea;27387,3055;6269,902419;8208,161966;263,2105035;11825,41336;6533,112922;18358,52628;10150,36432;50537,31431;4702,426814;8208,161966;1231,224355;11825,41336;5933,651169;17759,06453;9550,902565;98250,15815;813,881564;8208,161966;1231,224355;11825,41336;2045,105919;13870,51928;5662,357315;0,009373423;0,01958354;0,002167682;0,028213802;0,011541105;0,039754907;0,020171367
Spain;17985,83035;2805,280528;0;0;0;2805,280528;2805,280528;2805,280528;32221,81957;2805,280528;0;0;0;2805,280528;2805,280528;2805,280528;60277,29541;0;2379,537954;0;0;0;0;-2379,537954;9,577724763;4,062082091;0;0;9,577724763;9,577724763;5,515642672
Sweden;20888,1822;3902,323376;0;0;8971,076339;3902,323376;12873,39972;12873,39972;37606,76268;3902,323376;0;0;8971,076339;3902,323376;12873,39972;12873,39972;62433,89995;3902,323376;0;0;8971,076339;3902,323376;12873,39972;12873,39972;1,230044249;0;0;2,827756646;1,230044249;4,057800895;4,057800895
